cluster_id,reference_name,final_consensus,Match,is_controversial,initial_claude-3-5-sonnet-latest,initial_claude-3-5-haiku-latest,initial_gemini-1.5-pro,initial_gemini-2.0-flash-exp,initial_qwen-max-2025-01-25,initial_gpt-4o,match_score
1,CD8-positive alpha-beta T cell,CD8+ T cells,Parent match,True,T cells (mature),CD8+ Naive T cells,Cytotoxic T cell,CD56bright NK cell,Cytotoxic T Cell,Dendritic Cells,0.5
2,CD4-positive alpha-beta T cell,CD8+ Naive T cells,Sibling match,True,T cells (mature),CD8+ Naive T cells,Cytotoxic T cell,CD56dim NK cell,Cytotoxic T Cell,Dendritic Cells,0.5
3,double-positive alpha-beta thymocyte,Cortical Thymocytes,Exact match,True,Thymocytes (cortical),CD8+ Naive T cells,Cortical Thymic Epithelial Cell,Cortical thymocyte,Dendritic Cell,Dendritic Cells,0.5
4,CD8-alpha-alpha-positive alpha-beta intraepithelial T cell,T cells (developing),Parent match,False,T cells (developing),CD4+ Naive T cells,T cell,Naive T cell,Immature T Cell,T Cells,0.5
5,regulatory T cell,Activated T cell,No match,False,T cells (mature),CD8+ Naive T cells,Activated T cell,Activated T cell,Memory T Cell,T Cells,0.5
6,alpha-beta T cell,Double positive thymocyte,Sibling match,False,Thymocytes (early),Mature Naive T cells,T cell,Double positive thymocyte,Regulatory T Cell,T Cells,0.5
7,T cell,T cells (developing),Child match,False,T cells (developing),CD8+ Naive T cells,T cell,T cell,Naive T Cell,T Cells,0.5
8,double negative thymocyte,Early T cells/Thymocytes,Parent match,False,Early T cells/Thymocytes,Immature T cells,Immature T cell,Early T cell progenitors,T cell,Developing T cells,0.5
9,monocyte,Monocytes/Macrophages,Parent match,False,Monocytes/Macrophages,Monocytes,Myeloid cell,Myeloid cells,Myeloid cell,Monocytes,0.5
10,naive B cell,B cells,Parent match,False,B cells,B cells,B cell,B cells,B cell,B cells,0.5
11,dendritic cell,Dendritic cells,Exact match,True,Dendritic cells,Dendritic cells,Macrophage/Monocyte,Dendritic cells,Macrophage,Dendritic cells,1.0
12,CD4-positive alpha-beta memory T cell,Activated T cells,No match,True,Late T cells,MHC class I-expressing cells,Cortical thymic epithelial cell,Mature T cells,Epithelial cell,Activated T cells,0.5
13,gamma-delta T cell,Gamma delta T cells,Exact match,False,γδ T cells,Gamma delta T cells,T cell,T cells,γδ T cell,Gamma delta T cells,1.0
